"R1_Read_Count"	"R2_Read_Count"	"R4_Read_Count"
"LINC01318"	0	0	0
"LINC01394"	0	0	0
"NOP53-AS1"	0	0	0
"FARSA-AS1"	0	0	0
"LINC01259"	0	0	10
"LINC01074"	0	0	0
"LINC00976"	0	38	0
"PSLNR"	0	0	16
"LINC01613"	0	0	0
"LIMS1-AS1"	0	0	0
"LUADT1"	0	0	0
"LINC01616"	0	0	0
"RNU6-41P"	0	0	1
"RNU6-5P"	39	48	38
"RNU6-4P"	8	32	33
"RNU6-11P"	0	2	2
"RNU6-18P"	0	1	0
"RNU6-22P"	0	0	0
"RNU6-27P"	0	0	0
"RNU6-3P"	21	31	38
"RNU6-37P"	0	4	4
"RNU6-43P"	0	2	0
"RNU6-44P"	0	0	0
"RNU6-49P"	0	0	0
"HSFY5P"	0	0	0
"TPM3P3"	0	0	0
"MDC1-AS1"	0	1	1
"DDX39B-AS1"	39	10	22
"ATP6V0CP2"	0	0	0
"TRPC7-AS2"	0	0	0
"HTR3E-AS1"	0	0	0
"RNY3P1"	0	35	21
"RNU6-54P"	0	0	0
"LINC00449"	20	18	30
"RNA5SP50"	0	0	0
"RNA5SP99"	0	0	0
"RNA5SP172"	0	0	0
"RNA5SP226"	0	0	1
"RNA5SP335"	0	0	0
"RNA5SP355"	0	1	0
"RNA5SP376"	0	0	0
"RNA5SP377"	0	0	0
"RNA5SP473"	0	0	0
"CHEK2P4"	0	0	0
"CHEK2P5"	0	0	0
"H3P4"	133	171	202
"KRT18P56"	0	0	0
"WBP1LP7"	0	0	0
"WBP1LP3"	0	0	0
"EFCAB14P1"	0	0	1
"KSR1P1"	0	0	0
"MED28P5"	0	0	0
"RNU7-106P"	0	0	0
"RNU7-171P"	2	3	2
"RN7SKP48"	0	19	15
"RN7SKP55"	1	7	23
"RN7SKP80"	2070	16684	35335
"RN7SKP160"	4	7	12
"RN7SKP174"	0	1	2
"RN7SKP175"	4	3	4
"RN7SKP178"	1	1	2
"RN7SKP185"	1	16	22
"RN7SKP292"	0	69	3
"RN7SL11P"	0	2	0
"RN7SL26P"	0	0	0
"RN7SL33P"	0	0	0
"RN7SL36P"	59	25	19
"RN7SL43P"	0	0	1
"RN7SL87P"	0	0	0
"RN7SL97P"	0	0	0
"RN7SL107P"	0	2	0
"RN7SL125P"	0	0	4
"RN7SL143P"	0	0	0
"RN7SL147P"	0	1	1
"RN7SL166P"	21	35	14
"RN7SL178P"	0	0	2
"RN7SL191P"	1	2	1
"RN7SL217P"	0	0	0
"RN7SL220P"	0	20	6
"RN7SL225P"	0	0	0
"RN7SL229P"	0	0	0
"RN7SL230P"	42	33	30
"RN7SL234P"	0	0	0
"RN7SL262P"	0	0	0
"RN7SL277P"	0	0	0
"RN7SL308P"	3	48	8
"RN7SL310P"	0	0	0
"RN7SL329P"	0	21	3
"RN7SL342P"	0	0	0
"RN7SL359P"	1	2	3
"RN7SL361P"	0	0	0
"RN7SL364P"	0	13	5
"RN7SL381P"	70	21	7
"RN7SL394P"	0	0	0
"RN7SL396P"	10	35	65
"RN7SL444P"	1	7	13
"RN7SL472P"	24	3	0
"RN7SL473P"	5	45	10
"RN7SL492P"	0	1	0
"RN7SL493P"	13	1	1
"RN7SL507P"	1	1	4
"RN7SL521P"	22	4	9
"RN7SL523P"	0	0	0
"RN7SL535P"	0	31	13
"RN7SL542P"	0	0	0
"RN7SL546P"	1	7	3
"RN7SL551P"	0	0	0
"RN7SL555P"	0	2	3
"RN7SL563P"	0	0	1
"RN7SL585P"	0	0	0
"RN7SL587P"	1	41	13
"RN7SL597P"	1	0	1
"RN7SL604P"	0	0	0
"RN7SL610P"	0	0	0
"RN7SL620P"	0	0	0
"RN7SL635P"	0	1	0
"RN7SL645P"	0	0	1
"RN7SL664P"	1	3	3
"RN7SL674P"	72	298	539
"RN7SL711P"	0	1	1
"RN7SL726P"	0	0	0
"RN7SL743P"	13	1	0
"RN7SL753P"	0	7	1
"RN7SL769P"	0	0	1
"RN7SL778P"	0	0	1
"RN7SL786P"	0	0	1
"RN7SL795P"	0	0	1
"RN7SL803P"	0	1	1
"RN7SL823P"	0	0	0
"RN7SL832P"	33	21	9
"RN7SL846P"	0	23	2
"RN7SL862P"	0	0	0
"RNU6ATAC6P"	0	3	0
"RNU6ATAC7P"	0	0	0
"RNU6ATAC28P"	0	0	0
"RNU6ATAC37P"	0	0	0
"RNU6ATAC38P"	0	0	0
"RNU4-12P"	0	0	0
"RNU4-36P"	0	0	2
"RNU4-44P"	0	0	0
"RNU6-86P"	0	0	0
"RNU6-98P"	0	0	0
"RNU6-106P"	6	2	2
"RNU6-115P"	0	0	0
"RNU6-145P"	0	0	0
"RNU6-164P"	0	0	0
"RNU6-211P"	0	0	0
"RNU6-216P"	0	0	0
"RNU6-222P"	0	0	0
"RNU6-225P"	0	0	0
"RNU6-234P"	0	0	0
"RNU6-263P"	0	0	0
"RNU6-317P"	0	2	0
"RNU6-340P"	0	0	0
"RNU6-419P"	0	0	0
"RNU6-429P"	0	0	0
"RNU6-445P"	0	0	0
"RNU6-451P"	0	0	0
"RNU6-509P"	0	0	0
"RNU6-511P"	0	1	0
"RNU6-516P"	0	0	0
"RNU6-537P"	0	0	0
"RNU6-540P"	16	8	0
"RNU6-549P"	0	2	2
"RNU6-595P"	0	1	0
"RNU6-611P"	0	8	1
"RNU6-629P"	0	0	0
"RNU6-658P"	5	5	3
"RNU6-732P"	0	0	0
"RNU6-738P"	0	0	0
"RNU6-744P"	0	0	0
"RNU6-771P"	0	0	0
"RNU6-797P"	0	0	0
"RNU6-820P"	0	0	0
"RNU6-826P"	0	0	11
"RNU6-829P"	0	0	0
"RNU6-832P"	0	0	0
"RNU6-840P"	0	0	0
"RNU6-880P"	0	0	0
"RNU6-888P"	0	1	0
"RNU6-891P"	0	1	0
"RNU6-953P"	0	0	0
"RNU6-972P"	0	0	0
"RNU6-994P"	0	0	0
"RNU6-1048P"	0	0	0
"RNU6-1060P"	0	0	0
"RNU6-1072P"	0	0	0
"RNU6-1077P"	0	0	0
"RNU6-1079P"	0	7	3
"RNU6-1094P"	0	0	0
"RNU6-1128P"	0	0	0
"RNU6-1140P"	1	0	0
"RNU6-1152P"	0	1	0
"RNU6-1205P"	0	0	0
"RNU6-1209P"	4	8	5
"RNU6-1251P"	0	0	0
"RNU6-1266P"	0	1	0
"RNU6-1311P"	0	0	0
"RNU6-1316P"	16	0	0
"RPS4XP23"	0	0	0
"RNU1-56P"	0	2	1
"RNU1-67P"	0	0	5
"RNU1-77P"	0	4	0
"RNU1-83P"	0	0	0
"RNU1-117P"	0	0	0
"RNU1-138P"	0	0	0
"RNU2-33P"	0	4	4
"RNU2-37P"	18	5	6
"RNU2-56P"	0	0	0
"RNU2-57P"	0	0	0
"RNU2-59P"	0	1	1
"RNU2-70P"	0	2	0
"RNU2-71P"	0	0	0
"MED15P8"	0	0	0
"HNRNPA3P15"	0	0	0
"HNRNPA1P62"	0	0	0
"HNRNPA1P72"	1	7	0
"RPL17P51"	0	0	1
"KLF2P1"	0	0	0
"HSPE1P6"	0	0	0
"HSPE1P9"	0	0	0
"HSPE1P13"	46	56	21
"HSPE1P18"	0	47	0
"HSPE1P21"	0	0	0
"HSPE1P25"	2	6	2
"COX6CP11"	0	0	7
"COX6CP17"	12	46	27
"EIF1P6"	0	9	0
"SNRPCP5"	0	0	0
"SNRPCP16"	0	0	4
"SNRPCP20"	0	0	0
"NUTF2P3"	0	0	0
"LLPHP2"	0	0	0
"MZT1P1"	0	0	0
"PRR13P2"	19	17	6
"AKIRIN1P2"	0	0	0
"RNY1P12"	11	7	2
"RNY1P13"	0	0	0
"RNY3P12"	0	2	5
"TMF1P1"	0	0	0
"WBP1LP8"	0	0	0
"WBP1LP10"	0	0	0
"WBP1LP12"	0	0	0
"BTG4P1"	0	0	0
"BUD31P2"	0	4	17
"BMS1P22"	0	0	3
"RPL23AP89"	0	2	2
"RPL23AP91"	0	0	0
"RPL23AP95"	17	0	0
"SEPTIN14P1"	0	0	0
"SEPTIN14P8"	23	6	3
"SEPTIN14P12"	58	107	72
"SEPTIN14P17"	0	2	0
"SEPTIN14P24"	0	0	0
"NF1P10"	0	0	1
"DUX4L46"	0	0	0
"DUX4L50"	0	5	0
"RN7SL169P"	0	0	0
"RN7SL451P"	0	3	1
"RNU6ATAC25P"	0	0	0
"RNU6-487P"	0	0	0
"RNU6-512P"	0	0	0
"RNU6-1075P"	0	0	0
"RNU1-89P"	1	0	0
"RNU2-26P"	0	0	0
"RNU2-51P"	0	2	0
"RNU6-13P"	0	0	0
"GPM6BP2"	0	0	0
"HLA-DQB1-AS1"	3	3	3
"RNA5SP149"	0	0	0
"RNA5SP199"	0	0	0
"GCSHP1"	0	4	0
"SUB1P3"	2	2	7
"PKMP4"	0	0	2
"RN7SL40P"	0	0	0
"RN7SL57P"	21	34	4
"RN7SL168P"	0	0	0
"RN7SL181P"	40	9	5
"RN7SL242P"	54	5	8
"RN7SL260P"	3	0	0
"RN7SL321P"	0	0	0
"RN7SL608P"	82	137	35
"RN7SL720P"	0	0	1
"RN7SL735P"	0	26	5
"RN7SL863P"	0	0	2
"RNU6ATAC10P"	0	0	0
"RNU6ATAC20P"	0	0	0
"RNU6ATAC26P"	0	2	0
"RNU6-97P"	0	10	1
"RNU6-116P"	0	0	0
"RNU6-181P"	3	4	0
"RNU6-333P"	0	0	0
"RNU6-454P"	0	0	0
"RNU6-480P"	0	0	0
"RNU6-496P"	0	0	0
"RNU6-743P"	0	0	0
"RNU6-761P"	25	54	12
"RNU6-869P"	0	0	0
"RNU6-890P"	13	15	12
"RNU6-966P"	0	0	0
"RNU6-1062P"	0	3	0
"RNU6-1153P"	0	0	0
"RNU6-1195P"	0	0	0
"RNU6-1249P"	0	0	0
"RNU1-46P"	0	0	0
"RNU1-63P"	1	4	3
"RNU2-61P"	0	0	0
"HNRNPA1P76"	1	0	1
"KRT8P51"	0	0	0
"DYNLL1P5"	0	0	0
"RBISP2"	0	0	0
"RNU6-841P"	0	1	0
"RNU6-40P"	0	0	0
"RNU6-25P"	0	1	0
"RNU6-17P"	0	0	0
"RNU6-20P"	0	0	0
"RNU6-24P"	0	0	0
"RNU6-32P"	0	21	9
"RNU6-38P"	0	0	0
"RNU6-47P"	0	0	0
"ZNF736P5Y"	0	0	0
"FABP5P13"	0	0	0
"GPM6BP1"	0	0	0
"HSFY6P"	0	0	0
"OSTN-AS1"	0	0	4
"TUBB4BP3"	0	0	0
"RNU6-60P"	19	17	7
"RNU6-74P"	0	0	0
"RNA5SP134"	0	0	0
"RNA5SP161"	0	0	0
"RNA5SP298"	0	0	0
"RNA5SP370"	0	0	1
"RNA5SP429"	0	0	0
"RNA5SP442"	0	0	0
"PTGES3P4"	0	2	9
"WBP1LP4"	0	0	0
"WBP1LP5"	0	0	0
"TSEN15P2"	0	2	2
"POLHP1"	0	0	0
"CIR1P3"	0	0	0
"ATG4AP1"	0	0	0
"ROBO2P1"	0	0	0
"HMGN2P47"	0	1	0
"CHCHD4P3"	53	11	16
"RFPL4AP3"	0	0	0
"RN7SKP187"	1	17	17
"RN7SL38P"	0	1	1
"RN7SL49P"	5	17	17
"RN7SL88P"	0	0	8
"RN7SL91P"	0	0	0
"RN7SL113P"	0	7	16
"RN7SL124P"	0	2	0
"RN7SL127P"	5	144	57
"RN7SL141P"	0	46	3
"RN7SL144P"	1	6	4
"RN7SL213P"	0	2	1
"RN7SL218P"	0	1	2
"RN7SL263P"	0	0	1
"RN7SL288P"	2	85	14
"RN7SL290P"	0	0	0
"RN7SL296P"	1	1	1
"RN7SL300P"	0	1	2
"RN7SL357P"	0	0	0
"RN7SL445P"	0	0	0
"RN7SL468P"	0	1	1
"RN7SL478P"	0	0	0
"RN7SL481P"	33	88	35
"RN7SL508P"	0	0	0
"RN7SL515P"	0	0	0
"RN7SL556P"	0	0	0
"RN7SL573P"	0	1	5
"RN7SL586P"	0	0	0
"RN7SL607P"	0	0	0
"RN7SL614P"	0	3	0
"RN7SL627P"	1	1	6
"RN7SL630P"	0	155	1
"RN7SL643P"	0	0	0
"RN7SL665P"	1	1	2
"RN7SL672P"	0	0	0
"RN7SL687P"	0	0	0
"RN7SL689P"	0	0	0
"RN7SL691P"	0	0	0
"RN7SL702P"	0	0	0
"RN7SL704P"	0	1	1
"RN7SL712P"	0	0	0
"RN7SL732P"	1	1	2
"RN7SL752P"	2	13	29
"RN7SL767P"	17	40	84
"RN7SL788P"	7	8	0
"RN7SL797P"	0	1	0
"RN7SL828P"	0	0	1
"RNU4ATAC16P"	8	5	4
"RNU6ATAC31P"	0	0	0
"RNU6ATAC35P"	0	20	0
"RNU4-58P"	0	0	0
"RNU4-67P"	0	0	0
"RNU6-94P"	32	9	13
"RNU6-105P"	0	0	0
"RNU6-140P"	0	0	0
"RNU6-144P"	0	0	0
"RNU6-183P"	0	0	0
"RNU6-238P"	3	6	2
"RNU6-271P"	0	0	0
"RNU6-301P"	0	0	0
"RNU6-326P"	0	0	0
"RNU6-338P"	0	0	0
"RNU6-358P"	0	0	0
"RNU6-378P"	0	0	0
"RNU6-393P"	0	0	0
"RNU6-431P"	11	2	5
"RNU6-492P"	0	0	0
"RNU6-510P"	7	1	0
"RNU6-536P"	0	0	1
"RNU6-582P"	0	0	0
"RNU6-589P"	0	0	0
"RNU6-626P"	0	0	0
"RNU6-633P"	0	0	0
"RNU6-650P"	0	0	0
"RNU6-657P"	0	0	0
"RNU6-673P"	0	0	0
"RNU6-727P"	0	0	0
"RNU6-742P"	0	3	0
"RNU6-842P"	0	0	0
"RNU6-903P"	0	0	0
"RNU6-929P"	0	0	0
"RNU6-958P"	0	0	0
"RNU6-1024P"	0	1	0
"RNU6-1099P"	0	8	0
"RNU6-1104P"	0	0	0
"RNU6-1124P"	0	0	0
"RNU6-1133P"	0	0	0
"RNU6-1139P"	0	0	0
"RNU6-1145P"	0	0	0
"RNU6-1180P"	0	0	0
"RNU6-1298P"	0	0	0
"RNU6-1305P"	2	9	2
"RNU6-1323P"	0	0	0
"RNU6-1329P"	0	0	0
"RNU1-42P"	0	0	0
"RNU1-88P"	1	2	1
"RNVU1-32"	22	12	17
"RNU1-136P"	0	0	0
"RNU1-148P"	0	0	0
"RNU2-14P"	0	0	0
"RNU2-23P"	0	1	0
"RNU2-36P"	0	0	0
"RNU2-48P"	0	0	0
"RNU2-64P"	0	0	1
"RARRES2P7"	0	0	0
"HNRNPA1P65"	0	0	0
"ELOCP30"	0	0	0
"KLF2P3"	0	0	0
"HSPE1P11"	32	73	10
"HSPE1P14"	0	0	0
"HSPE1P23"	0	0	0
"SUMO2P10"	0	0	0
"SUMO2P18"	0	0	0
"COX6CP10"	0	0	0
"SNRPGP17"	0	0	1
"PDIA3P2"	54	21	21
"EIF1P7"	1	0	1
"LARP7P3"	0	0	0
"SNRPCP10"	0	0	0
"SNRPCP17"	0	0	0
"DDX43P3"	0	0	0
"RNY1P11"	0	5	3
"RNY4P34"	0	57	0
"RNY3P11"	0	3	0
"RNY3P13"	0	0	0
"SMARCE1P7"	0	0	0
"RBISP1"	0	0	0
"GPAA1P2"	0	127	2
"BRWD1P1"	0	0	0
"SETD6P1"	0	4	0
"C1DP5"	62	17	114
"SEPTIN14P13"	20	13	5
"NF1P11"	0	0	0
"AGGF1P6"	0	0	0
"FRGCA"	0	3	0
"RNU4-13P"	0	0	0
"RNU6-207P"	0	0	0
"SNRPCP13"	0	0	2
"WBP1LP6"	0	0	0
"RN7SKP227"	13	47	120
"RN7SL128P"	9	30	55
"RN7SL162P"	0	8	0
"RN7SL408P"	0	1	1
"RN7SL448P"	0	3	1
"RN7SL497P"	0	0	0
"RN7SL518P"	0	0	0
"RN7SL566P"	22	21	0
"RN7SL617P"	6	11	0
"RN7SL679P"	0	0	0
"RNU6ATAC41P"	0	0	0
"RNU4-84P"	0	0	0
"RNU6-154P"	0	0	0
"RNU6-227P"	0	0	2
"RNU6-428P"	0	0	0
"RNU6-641P"	0	0	0
"RNU6-737P"	0	0	0
"RNU6-1201P"	0	2	0
"RNU6-1255P"	0	4	5
"RNU1-39P"	1	1	1
"RNU1-55P"	0	0	0
"RNU1-132P"	0	0	0
"ELOCP32"	0	0	0
"COX6CP16"	0	0	0
"NOP56P3"	0	1	0
"WBP1LP11"	0	0	0
"RNU6-12P"	0	0	0
"RN7SL45P"	0	4	2
"MIR34AHG"	103	318	331
"RNA45SN1"	665225	259042	145588
"RNA18SN1"	1	2	11
"RNA5-8SN1"	1	1	1
"RNA28SN1"	108	133472	51
"CCDC58P4"	53	19	35
"DUX4L35"	0	0	0
"SNORD128"	2	16	12
"SNORD133"	1249	5686	2951
"SCARNA28"	91	2380	1247
"RN7SKP118"	1	3	6
"SNORD134"	7	2	2
"SNORD135"	0	3	2
"SNORD136"	39	19	8
"SNORD142"	5	19	6
"SNORD143"	21	70	10
"SNORD144"	6	38	2
"SCARNA26A"	43	205	284
"SNORA86"	1	1	1
"SCARNA26B"	16	27	9
"SNORA87"	43	45	13
"SNORA88"	0	0	0
"SNORA89"	0	0	1
"SNORA90"	0	0	1
"SNORA91"	9	1	4
"SNORA92"	0	5	2
"SNORA93"	0	0	0
"SNORA94"	740	247	275
"SNORA95"	0	0	0
"SNORA98"	2	16	4
"SNORA99"	0	0	0
"SNORA100"	1	1	1
"SNORA103"	92	75	30
"SNORA104"	1	248	37
"SNORA105A"	2	2	1
"SNORA105B"	1	1	1
"SNORA105C"	0	1	0
"SNORA107"	0	0	0
"SNORA108"	0	0	0
"SNORA109"	0	1	0
"SNORA110"	12	6	3
"SNORA111"	0	0	0
"SNORD129"	2	31	69
"SNORD130"	0	0	0
"SNORD131"	8	6	5
"SNORD132"	2	7	5
"SNORD137"	0	0	0
"SNORD140"	0	1	1
"SNORD141A"	1	1	1
"SNORD141B"	2	1	1
"MIR2117HG"	0	0	0
"LOC106660606"	4	12	14
"MIR4432HG"	113	36	73
"MIR5689HG"	0	0	0
"LINC00680"	695	902	932
"LINC00680-GUSBP4"	115	47	28
"EGLN1P1"	102	81	49
"DUX4L43"	0	0	0
"LOC106699570"	0	17	12
"PRH1-TAS2R14"	22	224	164
"PCF11-AS1"	1	4	2
"KCNK4-TEX40"	9	22	0
"LOC106780825"	0	3	0
"BUB1B-PAK6"	0	25	9
"GET1-SH3BGR"	151	32	59
"DUSP8P5"	77	194	68
"LOC107001062"	0	0	0
"RNU4-46P"	0	1	1
"AHCYP8"	0	0	0
"NDUFB4P4"	0	0	0
"NDUFB4P7"	0	0	0
"NDUFB4P5"	0	0	0
"NDUFB4P6"	0	0	0
"SEPTIN14P21"	0	2	1
"RPSAP65"	0	0	0
"RPSAP66"	0	0	0
"RPSAP67"	0	0	0
"RPSAP72"	0	0	0
"RPSAP74"	0	0	0
"RPSAP75"	0	0	0
"RPL12P47"	0	0	0
"MIR3142HG"	579	377	1572
"RPL12P50"	0	0	0
"LAPTM4BP2"	0	0	0
"RPSAP73"	0	0	0
"DUX4L32"	0	0	0
"PCMTD1P7"	0	0	2
"TBC1D7-LOC100130357"	83	74	34
"CYP4A26P"	0	0	0
"DUX4L36"	0	0	0
"CNPY3-GNMT"	63	80	64
"DUX4L39"	0	0	0
"DUX4L40"	0	0	0
"DUX4L44"	0	0	0
"DUX4L49"	0	0	0
"PCMTD1P6"	1	0	1
"PCMTD1P8"	0	0	2
"PCMTD1P4"	0	0	0
"PCMTD1P5"	2	2	6
"SEPTIN14P2"	22	103	50
"SEPTIN14P3"	72	36	8
"SEPTIN14P4"	122	163	24
"SEPTIN14P19"	36	31	7
"SEPTIN14P5"	45	27	7
"SEPTIN14P6"	19	20	5
"SEPTIN14P7"	2	6	9
"SCTR-AS1"	0	0	0
"SEPTIN14P10"	5	15	2
"SEPTIN14P11"	45	30	6
"SEPTIN14P14"	82	65	22
"SEPTIN14P15"	12	23	7
"SEPTIN14P16"	33	28	9
"SEPTIN14P18"	82	38	6
"SEPTIN14P20"	22	18	4
"SEPTIN14P22"	0	0	0
"SEPTIN14P23"	1	3	1
"CDK2AP2P2"	0	2	1
"RNA5SP387"	0	0	0
"KRT18P64"	0	0	0
"SMURF2P1-LRRC37BP1"	2013	1388	1556
"SMURF2P1"	118	41	65
"PSAT1P2"	0	0	0
"DHX40P1"	633	199	663
"ELOCP27"	0	0	0
"AOX3P-AOX2P"	14476	4156	13897
"LINC02415"	0	11	0
"LINC01593"	0	0	0
"RNY3P15"	1	1	1
"LOC107178920"	0	0	0
"PYDC5"	0	0	0
"BOLA2-SMG1P6"	1052	901	1389
"SETDB2-PHF11"	537	660	981
"SCARNA21B"	16	7	13
"SCARNA18B"	17	6	3
"SNORA101A"	0	0	0
"SNORA101B"	9	6	4
"WBP1LP9"	0	0	0
"CNTNAP3P4"	0	0	1
"LINC01976"	0	2	0
"IGHVII-30-21"	0	0	0
"LOC107983949"	37	22	13
"LOC107983950"	152	88	27
"LOC107983952"	161	50	136
"ELOA3C"	0	1	4
"LOC107983958"	0	0	13
"LOC107983959"	0	0	0
"LOC107983960"	0	0	0
"LOC107983961"	0	0	0
"LOC107983963"	0	0	0
"LOC107983966"	0	0	0
"LOC107983969"	0	0	0
"LOC107983971"	121	80	128
"LOC107983974"	0	0	1279
"CAPS2-AS1"	0	0	0
"LOC107983976"	0	0	0
"LOC107983979"	61	248	191
"LOC107983980"	0	0	3
"LOC107983981"	0	0	0
"LOC107983982"	0	0	0
"LOC107983983"	0	0	0
"LOC107983985"	0	6	31
"SPEM3"	0	0	0
"LOC107983989"	0	0	0
"LOC107983990"	48	22	189
"UPK3BL2"	1213	776	449
"LOC107983995"	0	0	0
"LOC107983996"	0	0	0
"LOC107983998"	281	129	69
"LINC02792"	0	0	0
"LOC107984000"	16	6	6
"LOC107984001"	0	0	0
"LINC02646"	60	17	7
"LOC107984003"	0	0	0
"LOC107984004"	0	3	0
"LOC107984005"	0	7	0
"LOC107984006"	0	65	124
"LOC107984007"	0	0	0
"LINC00415"	0	46	0
"LOC107984010"	0	0	0
"LOC107984011"	0	0	2
"LOC107984012"	0	0	0
"LOC107984013"	0	2	28
"LOC107984014"	0	0	0
"LOC107984015"	0	0	0
"LOC107984016"	0	28	15
"LOC107984017"	0	0	0
"LOC107984018"	0	0	0
"LOC107984019"	0	0	0
"LOC107984020"	0	0	0
"LOC107984021"	0	14	0
"LOC107984023"	132	15	0
"LOC107984024"	0	0	0
"LOC107984025"	0	0	0
"LINC02277"	0	0	0
"LINC02810"	0	0	0
"LOC107984029"	0	0	0
"LOC107984030"	45	7	3
"LOC107984031"	0	0	0
"LOC107984032"	0	0	0
"LOC107984034"	0	15	7
"LOC107984035"	47	86	43
"LOC107984036"	310	557	943
"LOC107984037"	74	18	24
"LOC107984040"	0	0	0
"LOC107984041"	0	6	2
"LOC107984043"	116	43	64
"LOC107984059"	0	0	0
"LOC107984063"	214	178	421
"LOC107984079"	0	6	0
"LOC107984083"	0	0	0
"LOC107984087"	0	0	0
"LOC107984088"	0	77	12
"LOC107984089"	0	0	0
"LOC107984098"	0	0	0
"LOC107984104"	0	34	9
"LOC107984109"	0	0	0
"LOC107984111"	0	3	7
"LOC107984112"	126	169	121
"LOC107984113"	0	3	0
"MIR583HG"	0	6	2
"LOC107984116"	0	0	0
"LINC02058"	0	0	0
"LOC107984118"	0	3	11
"LOC107984120"	530	952	26
"LOC107984123"	0	0	0
"LOC107984124"	0	2	33
"LOC107984126"	43	26	61
"LOC107984127"	177	563	45
"LOC107984128"	0	19	10
"LOC107984129"	50	245	39
"LOC107984130"	56	27	89
"LOC107984131"	0	10	26
"LOC107984132"	0	0	16
"LOC107984133"	0	0	0
"LOC107984135"	0	0	0
"LOC107984136"	0	0	0
"LOC107984137"	0	0	0
"LOC107984138"	1922	1123	1203
"LOC107984139"	92	68	87
"LOC107984140"	0	5	4
"LOC107984158"	0	26	16
"LOC107984160"	0	0	0
"ARL4AP3"	0	0	0
"LOC107984162"	0	0	0
"LOC107984164"	0	0	0
"LOC107984165"	0	0	10
"LOC107984168"	0	0	0
"LOC107984169"	0	0	0
"LOC107984170"	0	0	0
"LOC107984171"	0	0	0
"LOC107984172"	0	0	0
"LOC107984173"	0	0	0
"LOC107984174"	0	0	0
"LOC107984175"	0	0	0
"LOC107984176"	0	0	0
"LOC107984177"	0	0	0
"LINC02632"	0	0	0
"LOC107984179"	0	0	0
"LOC107984180"	0	0	0
"LOC107984181"	0	0	0
"LOC107984182"	0	0	0
"LOC107984183"	0	0	0
"LOC107984184"	0	86	0
"LOC107984185"	0	0	0
"LOC107984186"	0	0	0
"LOC107984187"	0	0	0
"LOC107984188"	0	0	0
"LOC107984189"	0	0	0
"LOC107984190"	0	236	82
"LOC107984191"	0	49	38
"LOC107984192"	139	69	670
"LOC107984193"	0	0	0
"LOC107984195"	0	0	0
"LOC107984196"	0	0	0
"LOC107984197"	0	0	0
"LOC107984198"	0	0	0
"LOC107984199"	0	28	0
"LOC107984200"	0	0	10
"LOC107984201"	0	0	0
"LOC107984202"	0	5	31
"LOC107984203"	12	3	72
"LOC107984204"	53	7	3
"LOC107984205"	28	0	0
"LOC107984206"	0	0	0
"LOC107984207"	0	0	0
"LOC107984208"	0	6	7
"LOC107984209"	36	127	9
"LOC107984210"	0	52	38
"LOC107984211"	0	54	17
"LOC107984212"	0	3	0
"LOC107984213"	0	0	0
"LOC107984214"	29	30	13
"LOC107984215"	0	0	0
"LOC107984216"	0	0	0
"LOC107984217"	0	0	0
"LOC107984218"	0	0	0
"LOC107984219"	0	0	0
"LOC107984220"	0	36	21
"LOC107984221"	0	3	0
"LOC107984222"	0	0	338
"LOC107984223"	0	0	0
"LOC107984224"	69	25	75
"LOC107984225"	73	17	129
"LOC107984226"	0	0	10
"LOC107984227"	103	44	85
"LOC107984234"	0	0	6
"LOC107984235"	0	0	0
"LOC107984236"	0	0	0
"LINC02625"	35	4	18
"LOC107984238"	16	19	0
"LOC107984239"	0	0	0
"LOC107984240"	0	0	0
"LINC02640"	0	0	0
"LOC107984242"	0	125	13
"LOC107984243"	56	38	38
"LOC107984244"	0	0	0
"LOC107984245"	0	0	0
"LOC107984246"	0	0	0
"LOC107984247"	9	4	2
"LOC107984248"	106	36	45
"LOC107984249"	0	0	0
"LOC107984251"	231	84	344
"LOC107984252"	0	30	0
"LOC107984253"	0	0	0
"LOC107984254"	0	0	3
"LOC107984255"	0	0	0
"LOC107984256"	0	0	0
"LOC107984257"	161	174	34
"LOC107984258"	121	160	87
"LOC107984260"	0	0	0
"LOC107984261"	27	98	55
"LOC107984262"	126	185	258
"LOC107984263"	0	0	0
"LOC107984264"	0	4	0
"LOC107984265"	0	0	0
"LOC107984266"	0	0	0
"LOC107984268"	0	0	0
"LOC107984269"	855	6	9
"LOC107984270"	0	0	4
"LOC107984271"	0	0	0
"LOC107984272"	0	8	0
"LOC107984273"	0	0	0
"LOC107984274"	0	0	0
"LOC107984275"	171	299	341
"LOC107984276"	0	0	0
"LOC107984277"	0	6	4
"LOC107984279"	0	3	0
"LINC02666"	1351	1837	2687
"LOC107984281"	267	9	359
"LOC107984282"	0	4	24
"LOC107984283"	0	0	0
"LOC107984284"	0	0	0
"LOC107984285"	136	121	60
"LOC107984289"	79	43	84
"LOC107984292"	0	13	4
"LOC107984293"	0	19	0
"LOC107984294"	0	0	0
"LOC107984298"	0	3	0
"LOC107984299"	0	0	0
"LOC107984301"	34	0	24
"LOC107984302"	116	56	21
"LOC107984303"	0	0	0
"LOC107984304"	0	0	0
"LOC107984307"	0	0	0
"LOC107984308"	0	0	0
"LOC107984309"	0	0	0
"LOC107984310"	0	0	0
"LOC107984311"	15	6	0
"LOC107984312"	15	62	54
"LOC107984313"	0	0	0
"LOC107984315"	1025	244	154
"LOC107984316"	46	23	17
"LOC107984317"	0	0	0
