"R1_Read_Count"	"R2_Read_Count"	"R4_Read_Count"
"CASP5"	0	116	6
"CASP6"	1164	259	1457
"CASP7"	3046	2847	3359
"CASP8"	3003	4449	2642
"CASP9"	654	586	800
"CASP10"	3595	5420	2873
"CASQ1"	0	4	0
"CASQ2"	0	0	0
"CASR"	51	13	16
"CAT"	18066	16360	15629
"CAV1"	82	118	290
"CAV2"	43	4	121
"CAV3"	0	0	0
"RUNX2"	193	412	93
"RUNX1"	2765	4056	5729
"RUNX1T1"	0	6	4
"CBFA2T3"	1707	632	1553
"RUNX3"	203	935	169
"CBFB"	13531	9161	8641
"SERPINA6"	0	0	0
"CBL"	3560	5358	3145
"CBLB"	3123	1821	1270
"CBLN1"	134	0	0
"SERPINH1"	662	369	1061
"CBR1"	582	815	3013
"CBR3"	34	254	753
"CBS"	0	45	26
"CCIN"	12	11	16
"KYAT1"	400	709	550
"CCK"	0	0	0
"CCKAR"	0	0	0
"CCKBR"	0	0	0
"KRIT1"	4524	4056	4179
"CCNA2"	3956	3153	7595
"CCNB1"	3729	2491	8691
"CCNC"	6306	2822	4719
"CCND2"	10222	7269	8340
"CCND2P1"	0	0	0
"CCND3"	12997	11812	24190
"CCND3P1"	0	0	0
"CCNE1"	708	2159	565
"CCNF"	2792	2560	2880
"CCNG1"	19149	5631	9137
"CCNG2"	7184	2748	5132
"CCNH"	7948	4506	3574
"CCNT1"	12628	5461	6750
"CCNT2"	11682	14611	8031
"CCT6A"	13269	8561	13681
"CD1A"	18	27	42
"CD1B"	24	27	4
"CD1C"	180	198	130
"CD1D"	121	459	97
"CD1E"	51	35	0
"CD2"	4115	312	489
"CD3D"	752	380	1409
"CD3E"	79	125	177
"CD3G"	189	96	341
"CD247"	633	795	2474
"CD4"	156	913	335
"CD5"	227	85	243
"CD5L"	79	362	1298
"CD6"	317	83	283
"CD7"	0	86	35
"CD8A"	833	299	984
"CD8B"	306	150	921
"CD8B2"	15	11	43
"CD9"	301	16833	3461
"CD14"	87	2126	350
"CD19"	13163	9382	7141
"MS4A1"	1139	361	4295
"MS4A3"	359	13058	1742
"CD22"	7479	1689	3117
"CD24P1"	0	0	0
"CD24P2"	16	8	8
"CD24P4"	6466	7067	5935
"CD27"	255	1017	1248
"CD28"	460	190	579
"CD80"	63	21	78
"CD86"	911	788	2846
"TNFRSF8"	0	109	21
"TNFSF8"	774	868	649
"CD33"	56	2072	187
"SIGLEC6"	46	11	0
"CD34"	22315	11719	511
"CD36"	3718	3272	3697
"SCARB1"	750	1077	1996
"SCARB2"	4152	4670	6847
"CD37"	3111	1751	798
"CD38"	19841	1693	7282
"ENTPD1"	477	5608	1033
"ENTPD2"	0	7	0
"ENTPD6"	1545	1246	578
"ENTPD3"	0	0	11
"ENTPD5"	374	631	587
"CD40"	1049	142	1102
"CD40LG"	32	26	25
"CD44"	8459	5151	1386
"CD47"	23509	20298	13603
"CD48"	2588	4482	4621
"CD53"	38113	14492	28093
"CD58"	6188	6950	8715
"CD59"	4393	6574	8746
"CD63"	3254	6579	4770
"CD68"	573	1420	813
"CD69"	77954	13466	28354
"CD70"	273	736	511
"CD72"	18164	4858	6398
"CD74"	27441	36247	30307
"CD79A"	6966	4037	3414
"CD79B"	46107	17442	34012
"CD81"	10377	3239	5705
"ADGRE5"	2561	10160	2186
"CD151"	257	579	223
"CDA"	0	1179	68
"CDK1"	3365	4022	8295
"CDK11B"	1947	1892	1277
"LRBA"	9664	8666	11483
"CDC5L"	12153	8340	11889
"SEPTIN7"	17483	12317	16473
"CDC6"	1476	2866	3225
"CDC20"	1759	1504	2744
"CDC25A"	1293	1895	3462
"CDC25B"	801	1849	1920
"CDC25C"	349	647	1373
"CDC27"	8561	6623	8990
"CDC34"	1275	971	1803
"CDC42"	28138	18713	23776
"CDH1"	101	83	246
"CDH2"	3	0	10
"CDH3"	0	0	30
"CDH4"	674	0	474
"CDH5"	28	232	21
"CDH6"	22	3	9
"CDH7"	0	0	0
"CDH8"	0	0	0
"CDH9"	0	3	0
"CDH10"	0	5	5
"CDH11"	1038	165	327
"CDH12"	0	0	0
"CDH12P2"	0	1	0
"CDH13"	0	3	17
"CDH15"	0	0	0
"CDH16"	0	0	0
"CDH17"	0	0	0
"CDH18"	0	0	0
"CDK2"	2652	3537	5873
"CDK3"	0	13	2
"CDK4"	1299	2446	3212
"CDK5"	724	468	1168
"CDK6"	34451	37618	98168
"CDK7"	1434	785	1576
"CDK8"	1426	866	917
"CDK9"	19801	7842	12103
"CDKN1A"	1072	4768	2495
"CDKN1B"	9452	8954	3831
"CDKN1C"	135	199	67
"CDKN2A"	263	3300	481
"CDKN2B"	40	255	107
"CDKN2C"	904	2276	1572
"CDKN2D"	2235	1569	1299
"CDKN3"	688	748	1604
"CDO1"	49	0	36
"CDR1"	0	0	0
"CDR2"	1241	765	932
"CDS1"	0	0	13
"CDSN"	0	0	0
"CD52"	9507	14272	21719
"CDX1"	0	0	0
"CDX2"	55	0	12
"CDX4"	0	0	0
"CLGN"	46	37	730
"CEACAM5"	0	0	0
"CEBPA"	1973	2242	338
"CEBPB"	847	979	157
"CEBPD"	373	1263	149
"CEBPE"	0	2707	1058
"CEBPG"	4378	2116	2443
"CEL"	0	558	228
"CELP"	0	84	45
"CENPA"	439	358	1124
"CENPB"	3684	2307	3237
"CENPC"	8176	11163	8198
"CENPCP1"	4	5	7
"CENPE"	3284	4572	6383
"CENPF"	11538	16262	23662
"CES1"	0	87	25
"CETN1"	0	0	0
"CETN2"	1397	743	1971
"CETN3"	633	874	1926
"CETP"	54	57	134
"CFL1"	7607	12304	11316
"CFL2"	724	237	654
"CFL1P5"	7	159	34
"CTSC"	863	8307	2628
"CFTR"	0	0	0
"CGA"	0	0	0
"CGB3"	0	0	0
"CEACAM3"	0	737	61
"CEACAM7"	0	0	0
"CEACAM8"	42	13653	1095
"CEACAM4"	14	860	92
"CEACAMP2"	0	1	0
"CHAD"	0	0	0
"RCBTB2"	4295	1099	5807
